N,rho_star,T_star,kappa,a,α,n_cut,m_cut,step_size,n_burnin,n_sweeps,sample_every,n_samples,seed,mean_abs_Q2_first_shell,ϵ0_inv,universal_line_4T,diff_to_4T,acceptance_rate,U1_mean,beta_U_mean
50,0.005,0.1,10.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101002,0.05550143047855519,0.9116667299066676,0.4,0.5116667299066676,0.020465,-112.714523093265,-1127.14523093266
50,0.005,0.125,8.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101003,0.06547989348913441,0.9166284102245875,0.5,0.4166284102245875,0.029315,-111.22584364654107,-889.8067491723285
50,0.005,0.15,6.666666666666667,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101004,0.08503935460756953,0.9097704423790718,0.6,0.3097704423790718,0.04584,-110.18172162445013,-734.5448108296694
50,0.005,0.175,5.714285714285714,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101005,0.09948862521729712,0.9095193915157153,0.7,0.2095193915157153,0.06316833333333334,-108.70136888191074,-621.1506793252064
50,0.005,0.2,5.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101006,0.1527976113981668,0.8784075242667361,0.8,0.07840752426673603,0.08951666666666666,-107.03000749308036,-535.1500374653989
50,0.005,0.225,4.444444444444445,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101007,0.22156470768822392,0.8432750291409258,0.9,-0.05672497085907424,0.12113166666666667,-105.0552317109864,-466.91214093770986
50,0.005,0.25,4.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101008,0.3591889852957111,0.7713331899441018,1.0,-0.22866681005589817,0.16083833333333333,-102.84160339627574,-411.366413585103
50,0.005,0.275,3.6363636363636362,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101009,0.620177915818417,0.6410749785493439,1.1,-0.45892502145065617,0.20263333333333333,-100.22413792485852,-364.4514106358455
50,0.005,0.3,3.3333333333333335,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101010,0.9656475559455934,0.48770806062217087,1.2,-0.7122919393778291,0.2559533333333333,-96.85306140444847,-322.8435380148289
50,0.005,0.35,2.857142857142857,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101011,1.559455759812189,0.29087116369360755,1.4,-1.1091288363063923,0.35488333333333333,-91.3222046384032,-260.92058468115226
50,0.005,0.4,2.5,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101012,2.0165134322766365,0.19765479860492352,1.6,-1.4023452013950766,0.43215166666666666,-87.38593309900922,-218.46483274752117
50,0.005,0.5,2.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101013,2.6046379440554586,0.17091799247772443,2.0,-1.8290820075222756,0.5405233333333334,-81.2512663668378,-162.5025327336756
50,0.005,0.6,1.6666666666666667,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101014,3.1565201549798294,0.1627070239429409,2.4,-2.2372929760570592,0.6138933333333333,-77.35414804000521,-128.92358006667763
